app_id,privacy_policy_url
id1559447444,https://www.flyingbytes.org/agprivacy
id1486157948,https://regpart.ru/webapp_policy.html
id426260937,https://www.scanbizcards.com/privacy-policy/
id1561304719,https://www.gosokal.com/privacy-policy/
id1457343053,https://www.freeance.com/privacy
id1511713250,https://www.ealingtennis.com/
id1019211660,https://www.yourpeopleonline.com/Privacy-Policy
id1539681846,http://cms.appbuild.io/cms/docs/legal/privacy.php?appcode=casadelr
id514300871,http://dotzoo.net/
id1592369300,https://ru.foodsoul.pro/documents/singleton?company_id=6054&mode=chain
id1491888813,https://privacy.recollect.net/privacy/nwrscnb/waste/en
id1556592567,https://wiply.net/help/privacy
id1450128090,https://www.townsendstudios.net/privacy-policy/
id696881080,https://www.bankoftravelersrest.com/CustomContent.aspx?Name=Mobile%20Privacy%20Policy
id1475469679,https://www.letsflo.co/privacy-policy
id1501351960,https://sites.google.com/view/poemsappprivacypolicy/home
id1046918638,http://securenetsystems.net/mobileapp/app_privacy.html
id1297304657,https://www.charles-stanley.co.uk/about-us/our-policies/privacy-notice
id1499824178,http://www.myan51.com/privacypolicy/ShredIt.html
id1016289389,https://cnxplayer.com/privacy.php
id730621279,http://victorychurchohio.com
id1183909397,http://www.blackboard.com/legal/privacy-policy.html
id1022969308,http://www.JohnAvatar.com
id1211084888,http://glasscard.org/privacy.html
id1499595203,https://radiologygroup.com.au/privacy-policy/
id1460565652,http://brtnusantara.com/privacy_police/pis_trans_semarang.html
id1467411849,https://addiktivegames.net/privacy.html
id1390224881,https://fm-india-live-fm-r.flycricket.io/privacy.html
id1570980210,https://trainfinder.app/privacy-notice
id1531704521,http://kjoebgames.com/contact/privacy-policy
id1521634216,http://vet2pet.com/privacy-notice-for-vet2pet-mobile-application/
id1524679465,https://5040.pp.ua/privacy-policy
id1288535118,https://pyappsprivacy.wordpress.com/2019/01/24/privacy-policy/
id1439649467,https://worshiponline.com/privacy/
id1558345182,https://awafi.sa
id1182154010,http://www.rotman.utoronto.ca/Connect/Rotman-MAG/Subscribe-or-Renew/Privacy-Policy
id1483055877,http://tracknme.com/contactus
